question,answer
职工参保登记,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要参保”，找到“职工参保登记”模块；第四步：按模块中的操作提示进行。
职工参保信息变更登记,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要参保”，找到“职工信息变更”模块；第四步：按模块中的操作提示进行。
城乡居民参保登记,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要参保”，找到“城乡居民参保登记”模块；第四步：按模块中的操作提示进行。
城乡参保信息变更登记,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要参保”，找到“城乡信息变更”模块；第四步：按模块中的操作提示进行。
金惠保参保登记,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：向下滑动找到“浙里惠民保”模块；第四步：点击“我要投保”；第五步：按模块中的操作提示进行。
生育医疗费支付,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要报销”，找到“生育医疗费支付”模块；第四步：按模块中的操作提示进行。
生育津贴支付,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要报销”，找到“生育津贴支付”模块；第四步：按模块中的操作提示进行。
未就业配偶医疗待遇核准支付,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要报销”，找到“未就业配偶待遇”模块；第四步：按模块中的操作提示进行。
一、恶性肿瘤,1.病史资料；2.病理确诊为恶性肿瘤；3.未经病理检查，但有放化疗、介入治疗的或经过两名以上专家认定的恶性肿瘤。
二、血液系统疾病,"（一）白血病：1.确诊白血病的病史资料；2.一年内血常规及骨髓检验报告单提示相关病变。
（二）多发性骨髓瘤：1.骨髓中原幼浆细胞比例≥10%或活检（不仅限于骨髓活检）证明有浆细胞瘤；2.骨髓中原幼浆细胞比例&lt;10%，但游离轻链κ/λ或λ/κ≥100。
（三）再生障碍性贫血：1.血常规：全血细胞减少，网织红细胞减少；2.骨髓象：骨髓增生减低或重度减低；3.骨髓活检：全片造血增生减低，无异常细胞；4.除外其它先天性、获得性、继发性骨髓衰竭症，如阵发性血红蛋白尿、低增生骨髓增生异常综合征或白血病、急性造血功能停滞、骨髓纤维化等。（纯红再障：1.血常规红系增生减低；2.骨髓检查及活检提示红系增生低下；3.除外其它。）
（四）骨髓增生异常综合征：1.血常规持续(≥6月***REMOVED***一系或多系血细胞减少：红细胞(Hb&lt;110g/L***REMOVED***;中性粒细胞(ANC&lt;1.5×10^9/L***REMOVED***;血小板(BPC&lt;100×10^9/L***REMOVED***， 排除其他可以导致血细胞减少和病态造血的造血及非造血系统疾患。2.骨髓常规符合以下其中一项：（1）病态造血：骨髓涂片红细胞系、中性粒细胞系、巨核细胞系中任一系至少达10%的病态造血;（2）原始细胞：骨髓涂片中达5～19%；（3）环状铁粒幼细胞占有核红细胞比例≥15%。
（五）骨髓增殖性疾病（真性红细胞增多症、原发性血小板增多症、原发性骨髓纤维化症）：以下符合三项：1.血常规异常；2.骨髓常规提示红系、粒系、巨核系增多、可见有泪滴状红细胞；3.骨髓活检红系、粒系、巨核系增生、骨髓纤维组织增生；4.存在JAK2、CALR或MPL突变。
（六）特发性血小板减少性紫癜：1.至少2次血常规血小板计数减少，血细胞形态无异常；2.骨髓检查巨核细胞数量增多或正常、有成熟障碍；3.排除其他继发性血小板减少。"
（一）白血病,1.确诊白血病的病史资料；2.一年内血常规及骨髓检验报告单提示相关病变。
（二）多发性骨髓瘤,1.骨髓中原幼浆细胞比例≥10%或活检（不仅限于骨髓活检）证明有浆细胞瘤；2.骨髓中原幼浆细胞比例&lt;10%，但游离轻链κ/λ或λ/κ≥100。
（三）再生障碍性贫血,1.血常规：全血细胞减少，网织红细胞减少；2.骨髓象：骨髓增生减低或重度减低；3.骨髓活检：全片造血增生减低，无异常细胞；4.除外其它先天性、获得性、继发性骨髓衰竭症，如阵发性血红蛋白尿、低增生骨髓增生异常综合征或白血病、急性造血功能停滞、骨髓纤维化等。（纯红再障：1.血常规红系增生减低；2.骨髓检查及活检提示红系增生低下；3.除外其它。）
（四）骨髓增生异常综合征,1.血常规持续(≥6月***REMOVED***一系或多系血细胞减少：红细胞(Hb&lt;110g/L***REMOVED***;中性粒细胞(ANC&lt;1.5×10^9/L***REMOVED***;血小板(BPC&lt;100×10^9/L***REMOVED***， 排除其他可以导致血细胞减少和病态造血的造血及非造血系统疾患。2.骨髓常规符合以下其中一项：（1）病态造血：骨髓涂片红细胞系、中性粒细胞系、巨核细胞系中任一系至少达10%的病态造血;（2）原始细胞：骨髓涂片中达5～19%；（3）环状铁粒幼细胞占有核红细胞比例≥15%。
（五）骨髓增殖性疾病,以下符合三项：1.血常规异常；2.骨髓常规提示红系、粒系、巨核系增多、可见有泪滴状红细胞；3.骨髓活检红系、粒系、巨核系增生、骨髓纤维组织增生；4.存在JAK2、CALR或MPL突变。
（六）特发性血小板减少性紫癜,1.至少2次血常规血小板计数减少，血细胞形态无异常；2.骨髓检查巨核细胞数量增多或正常、有成熟障碍；3.排除其他继发性血小板减少。
三、慢性肾功能不全（肾衰竭期以上）,1.慢性肾脏病的病史资料；2.近6个月肾功能检查报告：血清肌酐&gt;442umol/l或内生肌酐清除率&lt;30ml/min。3.透析患者凭血透、腹透的治疗记录。1为必须指标，同时符合2、3其中一条标准者。
四、器官移植抗排异治疗,1.器官移植的病史资料；2.临床抗排异药物治疗的医疗记录。
五、血友病,1.确诊血友病的病史资料；2.相关的检查化验如APTT、PCT、TGT等报告单提示异常。
六、系统性红斑狼疮伴并发症,确诊系统性红斑狼疮的病史资料及相关的化验检查提示异常。1.心脏并发症：近6个月心电图或超声心动图提示异常。2.肾脏并发症须有以下三项中一项：（1）尿微量蛋白大于正常值2倍以上（提供不同时间的尿微量蛋白化验单至少2张；（2）24小时尿蛋白（定量）&gt;150mg；（3）血清肌酐&gt;177umol/l，内生肌酐清除率&lt;60ml/min。3.消化系统并发症：腹部CT、肝功能异常，有肠系膜血管炎表现。4.神经系统并发症 ：近6个月脑电图或脑CT或脑MRI报告单提示异常。5.呼吸系统并发症：近6个月肺CT或肺功能异常。6.血液系统并发症：血常规异常。
七、完全性生长激素缺乏症,1.确诊完全性生长激素缺乏症的病史资料（专科医生诊治）；2.生长激素激发试验提示体内生长激素〈5ug/ml；3.年龄&lt;14周岁。
八、脑性瘫痪,1.确诊脑性瘫痪的病史资料（专科医生诊治）；2.脑CT或MRI提示非进行性的脑部病理性改变；3.年龄>3月。
九、克罗恩病,1.确诊克罗恩病的病史记录及用药记录（二级以上医院专科医生诊治）；2.有内镜检查报告提示：①非连续性或节段性病变；②卵石样外观或纵行溃疡、裂隙样溃疡；③全壁性炎性反应改变，表现为CT或MRI显示肠壁增厚或伴狭窄；④病理可见非干酪样肉芽肿；⑤合并裂沟，瘘管；⑥合并肛周病变包括肛瘘，肛周脓肿，肛裂。（①、②、③为必须指标，同时符合④、⑤、⑥任何一项。）
（一）精神分裂症,1.症状标准：至少有下列2项，并非继发于意识障碍、智能障碍、情感高涨或低落。（1）反复出现的言语性幻听；（2）明显的思维松弛、思维破裂、言语不连贯，或思维贫乏或思维内容贫乏；（3）思维被插入、被撤走、被播撒、思维中断，或强制性思维；（4）被动、被控制，或被洞悉体验；（5）原发性妄想或其他荒谬的妄想：（6）思维逻辑倒错、病理性象征性思维，或语词新作；（7）情感倒错，或明显的情感淡漠；（8）紧张综合征、怪异行为，或愚蠢行为；（9）明显的意志减退或缺乏。2.严重标准：自知力障碍，并有社会功能严重受损或无法进行有效交谈。3.病程标准：符合症状标准和严重标准至少已持续1个月。
（二）偏执性精神障碍,1.症状标准：以系统妄想为主要症状，内容较固定，并有一定的现实性，不经了解，难辨真伪。主要表现为被害、嫉妒、夸大、疑病，或钟情等。2.严重标准：社会功能严重受损和自知力障碍。3.病程标准：符合症状标准和严重标准至少已持续3个月。
（三）分裂情感性精神障碍,1.症状标准：同时符合精神分裂症和情感性精神障碍躁狂或抑郁发作的症状标准。2.严重标准：社会功能严重受损和自知力不全或缺乏。3.病程标准：符合症状标准的分裂症状与情感症状在整个病程中同时存在至少2周以上，并出现与消失的时间较接近。
